Name,Num,Guesses
Bellsprout,2,Castform; Bellsprout
Weepinbell,2,Castform; Weepinbell
Victreebel,2,Castform; Victreebel
Victreebel Mega,4,Castform; Decidueye; Volcanion; Victreebel Mega
Tentacool,2,Castform; Tentacool
Tentacruel,2,Castform; Tentacruel
Geodude,4,Castform; Tyrunt; Geodude Alolan; Geodude
Geodude Alolan,3,Castform; Tyrunt; Geodude Alolan
Graveler,3,Castform; Tyrunt; Graveler
Graveler Alolan,4,Castform; Tyrunt; Graveler; Graveler Alolan
Golem,3,Castform; Donphan; Golem
Golem Alolan,4,Castform; Donphan; Golem; Golem Alolan
Ponyta,3,Castform; Fletchinder; Ponyta
Ponyta Galarian,4,Castform; Fletchinder; Ponyta; Ponyta Galarian
Rapidash,2,Castform; Rapidash
Rapidash Galarian,3,Castform; Rapidash; Rapidash Galarian
Slowpoke,3,Castform; Shellos; Slowpoke
Slowpoke Galarian,4,Castform; Shellos; Slowpoke; Slowpoke Galarian
Slowbro,4,Castform; Type: Null; Slowbro Mega; Slowbro
Slowbro Mega,3,Castform; Type: Null; Slowbro Mega
Slowbro Galarian,2,Castform; Slowbro Galarian
Magnemite,2,Castform; Magnemite
Magneton,2,Castform; Magneton
Farfetch'D,4,Castform; Karrablast; Larvesta; Farfetch'D
Farfetch'D Galarian,4,Castform; Karrablast; Teddiursa; Farfetch'D Galarian
Doduo,4,Castform; Fletchinder; Trumbeak; Doduo
Dodrio,2,Castform; Dodrio
Seel,3,Castform; Baltoy; Seel
Dewgong,2,Castform; Dewgong
Grimer,3,Castform; Cufant; Grimer
Grimer Alolan,4,Castform; Cufant; Grimer; Grimer Alolan
Muk,3,Castform; Gourgeist Super Size; Muk
Muk Alolan,4,Castform; Gourgeist Super Size; Muk; Muk Alolan
Shellder,3,Castform; Cubone; Shellder
Cloyster,2,Castform; Cloyster
Gastly,3,Castform; Frogadier; Gastly
Haunter,4,Castform; Frogadier; Gastly; Haunter
Gengar,3,Castform; Mismagius; Gengar
Gengar Mega,3,Castform; Rotom Heat; Gengar Mega
Onix,2,Castform; Onix
Drowzee,3,Castform; Flabébé; Drowzee
Hypno,2,Castform; Hypno
Krabby,3,Castform; Tyrunt; Krabby
Kingler,3,Castform; Qwilfish Hisuian; Kingler
Voltorb,3,Castform; Poliwag; Voltorb
Voltorb Hisuian,4,Castform; Poliwag; Voltorb; Voltorb Hisuian
Electrode,2,Castform; Electrode
Electrode Hisuian,3,Castform; Electrode; Electrode Hisuian
Exeggcute,3,Castform; Cubone; Exeggcute
Exeggutor,3,Castform; Type: Null; Exeggutor
Exeggutor Alolan,3,Castform; Type: Null; Exeggutor Alolan
Cubone,2,Castform; Cubone
Marowak,2,Castform; Marowak
Marowak Alolan,3,Castform; Marowak; Marowak Alolan
Hitmonlee,3,Castform; Togedemaru; Hitmonlee
Hitmonchan,3,Castform; Lopunny; Hitmonchan
Lickitung,3,Castform; Audino; Lickitung
Koffing,3,Castform; Cubone; Koffing
Weezing,2,Castform; Weezing
Weezing Galarian,3,Castform; Weezing; Weezing Galarian
Rhyhorn,3,Castform; Donphan; Rhyhorn
Rhydon,3,Castform; Donphan; Rhydon
Chansey,2,Castform; Chansey
Tangela,3,Castform; Omanyte; Tangela
Kangaskhan,3,Castform; Ceruledge; Kangaskhan
Kangaskhan Mega,3,Castform; Ceruledge; Kangaskhan Mega
Horsea,2,Castform; Horsea
Seadra,2,Castform; Seadra
Goldeen,4,Castform; Ditto; Binacle; Goldeen
Seaking,3,Castform; Clodsire; Seaking
Staryu,2,Castform; Staryu
Starmie,3,Castform; Medicham Mega; Starmie
Mr. Mime,3,Castform; Mismagius; Mr. Mime
Mr. Mime Galarian,3,Castform; Mismagius; Mr. Mime Galarian
Scyther,3,Castform; Bombirdier; Scyther
Jynx,3,Castform; Mismagius; Jynx
Electabuzz,2,Castform; Electabuzz
Magmar,3,Castform; Electabuzz; Magmar
Pinsir,3,Castform; Kabutops; Pinsir
Pinsir Mega,3,Castform; Lopunny; Pinsir Mega
Tauros,2,Castform; Tauros
Tauros Combat Breed,3,Castform; Tauros; Tauros Combat Breed
Tauros Blaze Breed,4,Castform; Tauros; Tauros Combat Breed; Tauros Blaze Breed
Tauros Aqua Breed,5,Castform; Tauros; Tauros Combat Breed; Tauros Blaze Breed; Tauros Aqua Breed
Magikarp,3,Castform; Poliwag; Magikarp
Gyarados,3,Castform; Ceruledge; Gyarados
Gyarados Mega,3,Castform; Iron Leaves; Gyarados Mega
Lapras,3,Castform; Type: Null; Lapras
Ditto,2,Castform; Ditto
Eevee,2,Castform; Eevee
Vaporeon,2,Castform; Vaporeon
Jolteon,3,Castform; Mismagius; Jolteon
Flareon,2,Castform; Flareon
Porygon,3,Castform; Gloom; Porygon
Omanyte,2,Castform; Omanyte
Omastar,2,Castform; Omastar
Kabuto,3,Castform; Tyrunt; Kabuto
Kabutops,2,Castform; Kabutops
Aerodactyl,2,Castform; Aerodactyl
Aerodactyl Mega,3,Castform; Iron Leaves; Aerodactyl Mega
Snorlax,3,Castform; Clodsire; Snorlax
Articuno,4,Castform; Mew; Blastoise; Articuno
Articuno Galarian,3,Castform; Mew; Articuno Galarian
Zapdos,4,Castform; Mew; Charizard; Zapdos
Zapdos Galarian,3,Castform; Mew; Zapdos Galarian
Moltres,3,Castform; Mew; Moltres
Moltres Galarian,3,Castform; Mew; Moltres Galarian
Dratini,4,Castform; Ditto; Charmander; Dratini
Dragonair,2,Castform; Dragonair
Dragonite,3,Castform; Mew; Dragonite
Dragonite Mega,3,Castform; Mew; Dragonite Mega
Mewtwo,3,Castform; Mew; Mewtwo
Mewtwo Mega X,3,Castform; Mew; Mewtwo Mega X
Mewtwo Mega Y,3,Castform; Enamorus Incarnate Forme; Mewtwo Mega Y
Mew,2,Castform; Mew
Chikorita,4,Castform; Ditto; Bulbasaur; Chikorita
Bayleef,3,Castform; Corsola Galarian; Bayleef
Meganium,3,Castform; Mew; Meganium
Cyndaquil,4,Castform; Ditto; Charmander; Cyndaquil
Quilava,4,Castform; Frogadier; Charmeleon; Quilava
Typhlosion,4,Castform; Mew; Charizard; Typhlosion
Typhlosion Hisuian,3,Castform; Mew; Typhlosion Hisuian
Totodile,3,Castform; Ditto; Totodile
Croconaw,4,Castform; Tyrunt; Quilladin; Croconaw
Feraligatr,3,Castform; Mew; Feraligatr
Sentret,5,Castform; Ditto; Cosmog; Tyrogue; Sentret
Furret,3,Castform; Zangoose; Furret
Hoothoot,3,Castform; Ditto; Hoothoot
Noctowl,3,Castform; Lunatone; Noctowl
Ledyba,3,Castform; Flabébé; Ledyba
Ledian,2,Castform; Ledian
Spinarak,4,Castform; Ditto; Patrat; Spinarak
Ariados,3,Castform; Marshtomp; Ariados
Crobat,3,Castform; Iron Leaves; Crobat
Chinchou,3,Castform; Shellos; Chinchou
Lanturn,3,Castform; Vaporeon; Lanturn
Pichu,4,Castform; Ditto; Bunnelby; Pichu
Cleffa,3,Castform; Ditto; Cleffa
Igglybuff,4,Castform; Shellos; Jigglypuff; Igglybuff
Togepi,3,Castform; Ditto; Togepi
Togetic,3,Castform; Wormadam Plant Cloak; Togetic
Natu,2,Castform; Natu
Xatu,2,Castform; Xatu
Mareep,3,Castform; Ditto; Mareep
Flaaffy,2,Castform; Flaaffy
Ampharos,3,Castform; Type: Null; Ampharos
Ampharos Mega,3,Castform; Type: Null; Ampharos Mega
Bellossom,3,Castform; Type: Null; Bellossom
Marill,3,Castform; Gulpin; Marill
Azumarill,3,Castform; Audino; Azumarill
Sudowoodo,3,Castform; Perrserker; Sudowoodo
Politoed,3,Castform; Decidueye; Politoed
Hoppip,3,Castform; Ditto; Hoppip
Skiploom,3,Castform; Poliwag; Skiploom
Jumpluff,2,Castform; Jumpluff
Aipom,3,Castform; Persian; Aipom
Sunkern,4,Castform; Ditto; Cosmog; Sunkern
Sunflora,3,Castform; Exploud; Sunflora
Yanma,3,Castform; Frogadier; Yanma
Wooper,3,Castform; Ditto; Wooper
Wooper Paldean,4,Castform; Ditto; Wooper; Wooper Paldean
Quagsire,4,Castform; Donphan; Dondozo; Quagsire
Espeon,4,Castform; Mismagius; Jolteon; Espeon
Umbreon,3,Castform; Audino; Umbreon
Murkrow,4,Castform; Boltund; Torracat; Murkrow
Slowking,3,Castform; Type: Null; Slowking
Slowking Galarian,4,Castform; Bellibolt; Arboliva; Slowking Galarian
Misdreavus,3,Castform; Mismagius; Misdreavus
Unown,3,Castform; Weepinbell; Unown
Wobbuffet,3,Castform; Shellos; Wobbuffet
Girafarig,3,Castform; Galvantula; Girafarig
Pineco,3,Castform; Cubone; Pineco
Forretress,3,Castform; Donphan; Forretress
Dunsparce,2,Castform; Dunsparce
Gligar,3,Castform; Qwilfish Hisuian; Gligar
Steelix,3,Castform; Donphan; Steelix
Steelix Mega,3,Castform; Gourgeist Super Size; Steelix Mega
Snubbull,3,Castform; Karrablast; Snubbull
Granbull,3,Castform; Donphan; Granbull
Qwilfish,3,Castform; Qwilfish Hisuian; Qwilfish
Qwilfish Hisuian,2,Castform; Qwilfish Hisuian
Scizor,3,Castform; Crustle; Scizor
Scizor Mega,3,Castform; Bombirdier; Scizor Mega
Shuckle,3,Castform; Corsola Galarian; Shuckle
Heracross,3,Castform; Ceruledge; Heracross
Heracross Mega,3,Castform; Ceruledge; Heracross Mega
Sneasel,3,Castform; Togedemaru; Sneasel
Sneasel Hisuian,4,Castform; Togedemaru; Sneasel; Sneasel Hisuian
Teddiursa,3,Castform; Karrablast; Teddiursa
Ursaring,4,Castform; Type: Null; Arctozolt; Ursaring
Slugma,3,Castform; Petilil; Slugma
Magcargo,3,Castform; Wormadam Plant Cloak; Magcargo
Swinub,3,Castform; Ditto; Swinub
Piloswine,3,Castform; Donphan; Piloswine
Corsola,3,Castform; Corsola Galarian; Corsola
Corsola Galarian,2,Castform; Corsola Galarian
Remoraid,4,Castform; Ditto; Purrloin; Remoraid
Octillery,4,Castform; Type: Null; Eelektross; Octillery
Delibird,4,Castform; Poliwag; Stunky; Delibird
Mantine,2,Castform; Mantine
Skarmory,3,Castform; Bisharp; Skarmory
Houndour,3,Castform; Poltchageist; Houndour
Houndoom,3,Castform; Magmortar; Houndoom
Houndoom Mega,4,Castform; Mew; Sandy Shocks; Houndoom Mega
Kingdra,4,Castform; Mew; Glalie; Kingdra
Phanpy,3,Castform; Shellos; Phanpy
Donphan,2,Castform; Donphan
Porygon2,3,Castform; Type: Null; Porygon2
Stantler,3,Castform; Simisage; Stantler
Smeargle,3,Castform; Poliwag; Smeargle
Tyrogue,4,Castform; Ditto; Cosmog; Tyrogue
Hitmontop,2,Castform; Hitmontop
Smoochum,4,Castform; Poltchageist; Glimmet; Smoochum
Elekid,3,Castform; Poliwag; Elekid
Magby,3,Castform; Morpeko; Magby
Miltank,3,Castform; Tauros; Miltank
Blissey,3,Castform; Vaporeon; Blissey
Raikou,3,Castform; Mew; Raikou
Entei,3,Castform; Mew; Entei
Suicune,3,Castform; Mew; Suicune
Larvitar,3,Castform; Ditto; Larvitar
Pupitar,3,Castform; Marshtomp; Pupitar
Tyranitar,3,Castform; Type: Null; Tyranitar
Tyranitar Mega,3,Castform; Mew; Tyranitar Mega
Lugia,3,Castform; Mew; Lugia
Ho-Oh,4,Castform; Mew; Lunala; Ho-Oh
Celebi,3,Castform; Mew; Celebi
Treecko,3,Castform; Wattrel; Treecko
Grovyle,3,Castform; Frogadier; Grovyle
Sceptile,2,Castform; Sceptile
Sceptile Mega,3,Castform; Darkrai; Sceptile Mega
Torchic,3,Castform; Petilil; Torchic
Combusken,3,Castform; Weepinbell; Combusken
Blaziken,2,Castform; Blaziken
Blaziken Mega,4,Castform; Mew; Glalie Mega; Blaziken Mega
Mudkip,2,Castform; Mudkip
Marshtomp,2,Castform; Marshtomp
Swampert,3,Castform; Type: Null; Swampert
Swampert Mega,3,Castform; Decidueye; Swampert Mega
Poochyena,4,Castform; Ditto; Patrat; Poochyena
Mightyena,2,Castform; Mightyena
Zigzagoon,4,Castform; Ditto; Bunnelby; Zigzagoon
Zigzagoon Galarian,5,Castform; Ditto; Bunnelby; Zigzagoon; Zigzagoon Galarian
Linoone,2,Castform; Linoone
Linoone Galarian,3,Castform; Linoone; Linoone Galarian
Wurmple,4,Castform; Ditto; Cosmog; Wurmple
Silcoon,4,Castform; Ditto; Cascoon; Silcoon
Beautifly,2,Castform; Beautifly
Cascoon,3,Castform; Ditto; Cascoon
Dustox,2,Castform; Dustox
Lotad,3,Castform; Ditto; Lotad
Lombre,3,Castform; Baltoy; Lombre
Ludicolo,2,Castform; Ludicolo
Seedot,4,Castform; Ditto; Spewpa; Seedot
Nuzleaf,2,Castform; Nuzleaf
Shiftry,3,Castform; Simisage; Shiftry
Taillow,3,Castform; Poliwag; Taillow
Swellow,3,Castform; Boltund; Swellow
Wingull,3,Castform; Poliwag; Wingull
Pelipper,2,Castform; Pelipper
Ralts,4,Castform; Ditto; Cosmog; Ralts
Kirlia,4,Castform; Ditto; Vulpix; Kirlia
Gardevoir,3,Castform; Mismagius; Gardevoir
Gardevoir Mega,3,Castform; Electabuzz; Gardevoir Mega
Surskit,4,Castform; Ditto; Vulpix; Surskit
Masquerain,3,Castform; Thievul; Masquerain
Shroomish,3,Castform; Ditto; Shroomish
Breloom,2,Castform; Breloom
Slakoth,4,Castform; Ditto; Chewtle; Slakoth
Vigoroth,3,Castform; Revavroom; Vigoroth
Slaking,3,Castform; Samurott Hisuian; Slaking
Nincada,3,Castform; Cubone; Nincada
Ninjask,3,Castform; Fletchinder; Ninjask
Shedinja,3,Castform; Karrablast; Shedinja
Whismur,4,Castform; Ditto; Numel; Whismur
Loudred,3,Castform; Seviper; Loudred
Exploud,2,Castform; Exploud
Makuhita,3,Castform; Shellos; Makuhita
Hariyama,3,Castform; Cufant; Hariyama
Azurill,4,Castform; Ditto; Wooper; Azurill
Nosepass,4,Castform; Corsola Galarian; Shieldon; Nosepass
Skitty,3,Castform; Ditto; Skitty
Delcatty,3,Castform; Finizen; Delcatty
Sableye,3,Castform; Tyrunt; Sableye
Sableye Mega,3,Castform; Spiritomb; Sableye Mega
Mawile,3,Castform; Tyrunt; Mawile
Mawile Mega,3,Castform; Marowak; Mawile Mega
Aron,2,Castform; Aron
Lairon,3,Castform; Tyrunt; Lairon
Aggron,3,Castform; Perrserker; Aggron
Aggron Mega,3,Castform; Crustle; Aggron Mega
Meditite,4,Castform; Ditto; Snivy; Meditite
Medicham,3,Castform; Servine; Medicham
Medicham Mega,2,Castform; Medicham Mega
Electrike,3,Castform; Ditto; Electrike
Manectric,3,Castform; Galvantula; Manectric
Manectric Mega,3,Castform; Darkrai; Manectric Mega
Plusle,3,Castform; Mismagius; Plusle
Minun,4,Castform; Mismagius; Plusle; Minun
Volbeat,3,Castform; Lopunny; Volbeat
Illumise,3,Castform; Rotom Heat; Illumise
Roselia,3,Castform; Prinplup; Roselia
Gulpin,2,Castform; Gulpin
Swalot,3,Castform; Type: Null; Swalot
Carvanha,3,Castform; Karrablast; Carvanha
Sharpedo,3,Castform; Galvantula; Sharpedo
Sharpedo Mega,2,Castform; Sharpedo Mega
Wailmer,2,Castform; Wailmer
Wailord,4,Castform; Seviper; Loudred; Wailord
Numel,3,Castform; Ditto; Numel
Camerupt,2,Castform; Camerupt
Camerupt Mega,3,Castform; Dhelmise; Camerupt Mega
Torkoal,2,Castform; Torkoal
Spoink,2,Castform; Spoink
Grumpig,3,Castform; Volcarona; Grumpig
Spinda,4,Castform; Ditto; Finneon; Spinda
Trapinch,3,Castform; Karrablast; Trapinch
Vibrava,2,Castform; Vibrava
Flygon,3,Castform; Mew; Flygon
Cacnea,3,Castform; Weepinbell; Cacnea
Cacturne,2,Castform; Cacturne
Swablu,3,Castform; Flabébé; Swablu
Altaria,2,Castform; Altaria
Altaria Mega,3,Castform; Mew; Altaria Mega
Zangoose,2,Castform; Zangoose
Seviper,2,Castform; Seviper
Lunatone,2,Castform; Lunatone
Solrock,2,Castform; Solrock
Barboach,3,Castform; Ditto; Barboach
Whiscash,3,Castform; Type: Null; Whiscash
Corphish,3,Castform; Karrablast; Corphish
Crawdaunt,2,Castform; Crawdaunt
Baltoy,2,Castform; Baltoy
Claydol,3,Castform; Deoxys Defense Forme; Claydol
Lileep,3,Castform; Corsola Galarian; Lileep
Cradily,4,Castform; Type: Null; Registeel; Cradily
Anorith,4,Castform; Fletchinder; Trumbeak; Anorith
Armaldo,3,Castform; Grapploct; Armaldo
Feebas,3,Castform; Poliwag; Feebas
Milotic,3,Castform; Sigilyph; Milotic
Castform,1,Castform
Kecleon,2,Castform; Kecleon
Shuppet,3,Castform; Karrablast; Shuppet
Banette,3,Castform; Weepinbell; Banette
Banette Mega,3,Castform; Medicham Mega; Banette Mega
Duskull,4,Castform; Corsola Galarian; Bronzor; Duskull
Dusclops,2,Castform; Dusclops
Tropius,3,Castform; Bellibolt; Tropius
Chimecho,4,Castform; Bellibolt; Oranguru; Chimecho
Absol,3,Castform; Boltund; Absol
Absol Mega,4,Castform; Boltund; Zoroark; Absol Mega
Wynaut,3,Castform; Shellos; Wynaut
Snorunt,4,Castform; Ditto; Finneon; Snorunt
Glalie,3,Castform; Mew; Glalie
Glalie Mega,3,Castform; Mew; Glalie Mega
Spheal,3,Castform; Gulpin; Spheal
Sealeo,2,Castform; Sealeo
Walrein,3,Castform; Type: Null; Walrein
Clamperl,3,Castform; Omanyte; Clamperl
Huntail,3,Castform; Spiritomb; Huntail
Gorebyss,3,Castform; Spiritomb; Gorebyss
Relicanth,3,Castform; Donphan; Relicanth
Luvdisc,3,Castform; Poliwag; Luvdisc
Bagon,3,Castform; Karrablast; Bagon
Shelgon,3,Castform; Tyrunt; Shelgon
Salamence,4,Castform; Mew; Glalie Mega; Salamence
Salamence Mega,3,Castform; Mew; Salamence Mega
Beldum,3,Castform; Cubone; Beldum
Metang,3,Castform; Marowak; Metang
Metagross,3,Castform; Decidueye; Metagross
Metagross Mega,3,Castform; Mew; Metagross Mega
Regirock,3,Castform; Gourgeist Super Size; Regirock
Regice,4,Castform; Bellibolt; Audino Mega; Regice
Registeel,3,Castform; Type: Null; Registeel
Latias,3,Castform; Mew; Latias
Latias Mega,3,Castform; Mew; Latias Mega
Latios,4,Castform; Mew; Latias; Latios
Latios Mega,3,Castform; Mew; Latios Mega
Kyogre,3,Castform; Mew; Kyogre
Kyogre Primal,3,Castform; Mew; Kyogre Primal
Groudon,3,Castform; Mew; Groudon
Groudon Primal,3,Castform; Mew; Groudon Primal
Rayquaza,4,Castform; Mew; Yveltal; Rayquaza
Rayquaza Mega,4,Castform; Mew; Mewtwo Mega X; Rayquaza Mega
Jirachi,4,Castform; Mew; Celebi; Jirachi
Deoxys Normal Forme,4,Castform; Boltund; Deoxys Attack Forme; Deoxys Normal Forme
Deoxys Attack Forme,3,Castform; Boltund; Deoxys Attack Forme
Deoxys Defense Forme,2,Castform; Deoxys Defense Forme
Deoxys Speed Forme,3,Castform; Medicham Mega; Deoxys Speed Forme
Turtwig,4,Castform; Ditto; Larvitar; Turtwig
Grotle,3,Castform; Donphan; Grotle
Torterra,3,Castform; Type: Null; Torterra
Chimchar,4,Castform; Ditto; Purrloin; Chimchar
Monferno,4,Castform; Boltund; Torracat; Monferno
Infernape,4,Castform; Mew; Landorus Incarnate Forme; Infernape
Piplup,3,Castform; Ditto; Piplup
Prinplup,2,Castform; Prinplup
Empoleon,3,Castform; Type: Null; Empoleon
Starly,4,Castform; Ditto; Fletchling; Starly
Staravia,4,Castform; Fletchinder; Trumbeak; Staravia
Staraptor,3,Castform; Eiscue Noice Face; Staraptor
Bidoof,4,Castform; Ditto; Wooper; Bidoof
Bibarel,3,Castform; Zangoose; Bibarel
Kricketot,4,Castform; Ditto; Cosmog; Kricketot
Kricketune,4,Castform; Cufant; Gumshoos; Kricketune
Shinx,4,Castform; Ditto; Patrat; Shinx
Luxio,4,Castform; Karrablast; Larvesta; Luxio
Luxray,4,Castform; Decidueye; Metagross; Luxray
Budew,3,Castform; Baltoy; Budew
Roserade,2,Castform; Roserade
Cranidos,3,Castform; Karrablast; Cranidos
Rampardos,4,Castform; Cufant; Gumshoos; Rampardos
Shieldon,3,Castform; Corsola Galarian; Shieldon
Bastiodon,3,Castform; Corsola Galarian; Bastiodon
Burmy,4,Castform; Ditto; Cosmog; Burmy
Wormadam Plant Cloak,2,Castform; Wormadam Plant Cloak
Wormadam Sandy Cloak,4,Castform; Marowak; Spidops; Wormadam Sandy Cloak
Wormadam Trash Cloak,3,Castform; Corsola Galarian; Wormadam Trash Cloak
Mothim,3,Castform; Cacturne; Mothim
Combee,3,Castform; Wattrel; Combee
Vespiquen,3,Castform; Dhelmise; Vespiquen
Pachirisu,2,Castform; Pachirisu
Buizel,3,Castform; Poliwag; Buizel
Floatzel,3,Castform; Simisage; Floatzel
Cherubi,3,Castform; Ditto; Cherubi
Cherrim,2,Castform; Cherrim
Shellos,2,Castform; Shellos
Gastrodon,3,Castform; Exploud; Gastrodon
Ambipom,3,Castform; Zangoose; Ambipom
Drifloon,2,Castform; Drifloon
Drifblim,3,Castform; Simisage; Drifblim
Buneary,4,Castform; Poliwag; Stunky; Buneary
Lopunny,2,Castform; Lopunny
Lopunny Mega,3,Castform; Lopunny; Lopunny Mega
Mismagius,2,Castform; Mismagius
Honchkrow,4,Castform; Simisage; Regidrago; Honchkrow
Glameow,3,Castform; Poliwag; Glameow
Purugly,3,Castform; Zangoose; Purugly
Chingling,4,Castform; Ditto; Gothita; Chingling
Stunky,3,Castform; Poliwag; Stunky
Skuntank,3,Castform; Simisage; Skuntank
Bronzor,3,Castform; Corsola Galarian; Bronzor
Bronzong,3,Castform; Spiritomb; Bronzong
Bonsly,3,Castform; Tyrunt; Bonsly
Mime Jr.,3,Castform; Spoink; Mime Jr.
Happiny,3,Castform; Shellos; Happiny
Chatot,3,Castform; Vivillon; Chatot
Spiritomb,2,Castform; Spiritomb
Gible,3,Castform; Mudkip; Gible
Gabite,3,Castform; Fletchinder; Gabite
Garchomp,3,Castform; Mew; Garchomp
Garchomp Mega,3,Castform; Mew; Garchomp Mega
Munchlax,3,Castform; Clodsire; Munchlax
Riolu,3,Castform; Mudkip; Riolu
Lucario,2,Castform; Lucario
Lucario Mega,2,Castform; Lucario Mega
Hippopotas,3,Castform; Tyrunt; Hippopotas
Hippowdon,3,Castform; Gourgeist Super Size; Hippowdon
Skorupi,3,Castform; Cubone; Skorupi
Drapion,3,Castform; Bombirdier; Drapion
Croagunk,3,Castform; Ditto; Croagunk
Toxicroak,3,Castform; Simisage; Toxicroak
Carnivine,4,Castform; Type: Null; Arctozolt; Carnivine
Finneon,3,Castform; Ditto; Finneon
Lumineon,3,Castform; Servine; Lumineon
Mantyke,3,Castform; Flabébé; Mantyke
Snover,4,Castform; Ditto; Piplup; Snover
Abomasnow,3,Castform; Type: Null; Abomasnow
Abomasnow Mega,4,Castform; Type: Null; Enamorus Therian Forme; Abomasnow Mega
Weavile,2,Castform; Weavile
Magnezone,2,Castform; Magnezone
Lickilicky,3,Castform; Type: Null; Lickilicky
